Number Of Species,Group,Genus,Biggest Threat,Prey,Location,Skin Type,Gestation Period,Kingdom,Age Of Weaning,Scientific Name,header_name,Diet,Top Speed,Estimated Population Size,Average Litter Size,Size (L),Other Name(s),Class,Lifestyle,Age Of Sexual Maturity,Colour,Name Of Young,Life Span,Predators,Fun Fact,Common Name,Order,Group Behaviour,Family,Habitat,Conservation Status,Most Distinctive Feature,Weight,Phylum
,,Microcebus,,,,Fur,,Animalia,,Microcebus Murinus,Grey Mouse Lemur,Omnivore,32km/h (20mph),,2 ,25cm - 28cm (9.8in - 11in),,Mammalia,Solitary,,"Grey, Black, Brown, White",,3 - 8 years,"Owls, Snakes, Fossa",,,Primates,,Cheirogaleidae,Tropical Woodland,Least Concern,,58g - 67g (2oz - 2.4oz),Chordata
,,Merops,,,,Feathers,,Animalia,,Merops Orientalis,Green Bee-Eater,Omnivore,42km/h (26mph),,,,,Aves,Solitary,,"Green, Orange, Blue, Brown, Yellow, Black, White",,12 - 18 years,"Eagles, Storks, Raptors",,,Coraciiformes,,Meropidae,Grasslands and open forests,Least Concern,,15g - 20g (0.5oz - 0.7oz),Chordata
1,Fish,Carcharodon,Hunting and habitat degredation,"Seals, Sea Lions, Dolphins",Worldwide,Tough,,Animalia,,Carcharodon carcharias,Great White Shark,Carnivore,24kph (15mph),Unknown,,5.5m - 8m (18ft - 26ft),"White Shark, White Pointer Shark",Chondrichthyes,Diurnal,17 years,"Grey, Black, White",Pup,30 - 40 years,"Killer Whales, Sharks, Humans","Have up to 300 serrated, triangular teeth!",Great White Shark,Lamniformes,Solitary,Lamnidae,"Temperate, coastal waters and open ocean",Vulnerable,,"1,110kg - 2,240kg (2,450lbs - 4,938lbs)",Chordata
,,,,,,Shell,,Animalia,,Caelifera,Grasshopper,Herbivore,,,4,,,Insecta,,,"Brown, Yellow, Green",,,"Birds, Rodents, Reptiles, Insects",,Grasshopper,Orthoptera,,Caelifera,Fields and meadows,Least Concern,,,Arthropoda
,,Gorilla,,,,Hair,,Animalia,,Troglodytes Gorilla,Gorilla,Herbivore,40km/h (25mph),,1,,,Mammalia,Troop,,"Black, Grey",,35-50 years,"Human, Leopard, Crocodile",,,Primates,,Hominidae,Rainforest and dense jungle,Threatened,,100-200kg (220-440lbs),Chordata
,,Spermophilus,,,,Fur,,Animalia,,Spermophilus Richardsonii,Gopher,Omnivore,25km/h (16mph),,6,,,Mammalia,Social,,"Brown, Tan",,3-5 years,"Owls, Snakes, Coyotes",,,Rodentia,,Sciuridae,Woodland and grass prairies,Threatened,,"220-1,000g (7.8-35.2oz)",Cnidaria
,,Anserini,,,,Feathers,,Animalia,,Branta,Goose,Omnivore,90km/h (55mph),,,60cm - 120cm (23.6in - 50in),,Aves,Flock,,"Grey, Brown, Black, White",,12 - 26 years,"Fox, Owl, Raccoon, Wild dogs",,,Anseriformes,,Anatidae,"Large ponds, rivers and lake shores",Least Concern,,1.5kg - 8kg (3.3lbs - 17lbs),Chordata
2,Bird,Oriolus,Habitat loss,"Insects, Fruit, Seeds",Across Europe and Asia,Feathers,,Animalia,,Oriolus oriolus,Golden Oriole,Omnivore,42kph (26mph),Sustainable,,,Eurasian Oriole,Aves,Diurnal,1 year,"Yellow, Black, Green, Brown",Chick,8 - 12 years,"Eagles, Storks, Raptors",Migrates between Europe and Asia!,Golden Oriole,Passeriformes,Solitary,Oriolidae,Woodlands and open forests,Least Concern,,15g - 20g (0.5oz - 0.7oz),Chordata
,,Leontopithecus,,,,Hair,,Animalia,,Leontopithecus Rosalia,Golden Lion Tamarin,Omnivore,40km/h (24mph),,2,,,Mammalia,Troop,,"Gold, Orange, Black, Brown",,8-15 years,"Hawks, Wild Cats, Snakes, Rats",,,Primates,,Callitrichidae,Lowland tropical forest,Endangered,,550-700g (19-25oz),Chordata
,,Capra,,,,Fur,,Animalia,,Capra Aegagrus Hircus,Goat,Herbivore,17km/h (10mph),,2,,,Mammalia,Herd,,"Brown, Black, White, Tan",,10-15 years,"Human, Wolf, Mountain Lion",,,Artiodactyla,,Bovidae,Dry woodland and mountainous regions,Least Concern,,54-77kg (120-170lbs),Chordata
,,,,,,Shell,,Animalia,,Arachnocampa luminosa,Glow Worm,Omnivore,,,75,,,Insecta,,,"Black, Brown, Yellow, Green, Red",,,"Spiders, Birds, Centipedes",,Glow Worm,Coleoptera,,Lampyridae,Undisturbed woodland and caves,Threatened,,,Arthropoda
,,Ophisaurus,,,,Scales,,Animalia,,Ophisaurus,Glass Lizard,Carnivore,9.7km/h (6mph),,,60cm - 121cm (2ft - 4ft),,Reptilia,Solitary,,"Black, Brown, Tan, Yellow, Grey, Green",,10 - 30 years,"Birds, Mammals, Snakes",,,Squamata,,Anguidae,Sandy coastal regions,Least Concern,,300g - 600g (11oz - 21oz),Chordata
9,Mammal,Giraffa,Hunting and habitat loss,"Leaves, Fruits, Seeds",sub-Saharan Africa,Hair,457 days,Animalia,13 months,Giraffa camelopardalis,Giraffe,Herbivore,48kph (30mph),Stable,1,,,Mammalia,Diurnal,3.5 - 4.5 years,"White, Tan, Red, Brown, Black",Calf,20 - 25 years,"Lions, Leopards, Hyenas","Long, black tongue can grow to 18 inches long!",Giraffe,Artiodactyla,Herd,Giraffidae,Open woodland and savannah,Least Concern,Elongated neck and unique patterned coat,"550kg - 1,930kg (1,200lbs - 4,200lbs)",Chordata
,,Heloderma,,,,Scales,,Animalia,,Heloderma Suspectum,Gila Monster,Carnivore,24km/h (15mph),,,,,Reptilia,Solitary,,"Tan, Brown, Black, Grey, White",,20-30 years,"Humans, Coyotes, Birds Of Prey",,,Squamata,,Helodermatidae,"Shrubland, desert and woodland",Threatened,,1.3-2.2kg (3-5lbs),Chordata
,,Hylobates,,,,Hair,,Animalia,,Hylobatidae,Gibbon,Omnivore,56km/h (35mph),,1,,,Mammalia,Troop,,"Black, Brown, White, Grey, Yellow",,25-40 years,"Leopards, Snakes, Birds Of Prey",,,Primates,,Hylobatidae,Dense forest and jungle,Threatened,,6-9kg (13.2-19.8lbs),Chordata
1,Mammal,Ailuropoda,Habitat loss,"Bamboo, Fruits, Rodents",Mountains of central China,Fur,5 months,Animalia,12 - 15 months,Ailuropoda melanoleuca,Giant Panda Bear,Omnivore,32kph (20mph),"2,000",1,,"Giant Bear Cat, Bamboo Bear",Mammalia,Diurnal/Nocturnal,4 - 8 years,"Black, White, Brown",Cub,20 - 35 years,"Humans, Leopards, Birds of Prey",Bamboo makes up 99 per cent of their diet!,"Giant Panda, Giant Panda Bear",Carnivora,Solitary,Ursidae,"High-altitude, moist bamboo forest",Vulnerable,Extension of wrist bone acts as a thumb,110kg - 250kg (242lbs - 551lbs),Chordata
,,Tridacna,,,,Shell,,Animalia,,Tridacna Gigas,Giant Clam,,,,Millions,,,Bivalvia,,,"Green, Red, Blue, Yellow, Orange, Brown, Pink",,,"Eels, Snails, Starfish",,Giant Clam,,,Tridacnidae,Saltwater seafloors,Threatened,,100-200kg (220-440lbs),Mollusca
,,Achatina,,,,Hard Outer Shell,,Animalia,,Achatina Fulica,Giant African Land Snail,Herbivore,0.003km/h (0.002mph),,200,,,Gastropoda,Solitary,,"Brown, Yellow, Red",,3-10 years,"Wild Cats, Birds, Humans",,,Achatinoidea,,Achatinidae,Humid forest areas,Least Concern,,250-450g (8.8-15.9oz),Mollusca
,,Gavialis,,,,Scales,,Animalia,,Gavialis Gangeticus,Gharial,Carnivore,24km/h (15mph),,,,,Reptilia,Solitary,,"Black, Grey, Brown",,20-30 years,Humans,,,Crocodilia,,Gavialidae,"Deep, fast-flowing rivers",Endangered,,150-680kg (330-1500lbs),Chordata
,,Gerbillinae,,,,Fur,,Animalia,,Gerbillinae,Gerbil,Omnivore,6km/h (4mph),,8,,,Mammalia,Solitary,,"Brown, Grey, White, Black, Tan",,3-5 years,"Birds, Snakes, Wildcats",,,Rodentia,,Muridae,Dry deserts,Least Concern,,56.6113g (2-4oz),Cnidaria
,,Saguinus,,,,Fur,,Animalia,,Saguinus Geoffroyi,Geoffroys Tamarin,Omnivore,40km/h (24mph),,2,18cm - 30cm (7in - 12in),,Mammalia,Troop,,"Grey, Black, White, Brown",,8 - 15 years,"Hawks, Snakes, Wild Cats",,,Primates,,Callitrichidae,Lowland tropical forest,Least Concern,,220g - 900g (7.7oz - 32oz),Chordata
,,Pygoscelis,,,,Feathers,,Animalia,,Pygoscelis papua,Gentoo Penguin,Carnivore,,,2,,,Aves,Colony,,"Black, White, Grey, Orange",,15 - 20 years,"Leopard Seal, Killer Whale, Sharks",,,Sphenisciformes,,Spheniscidae,Rocky Antarctic Islands,Near Threatened,,4kg - 8kg (8.8lbs - 18lbs),Chordata
,,Gekkoninae,,,,Scales,,Animalia,,Gekkonidae,Gecko,Carnivore,48km/h (30mph),,2,,,Reptilia,Solitary,,"Tan, Black, Brown, White, Green, Blue, Orange, Yellow",,2-9 years,"Snake, Birds, Spiders",,,Squamata,,Gekkonidae,Rocky deserts and mountainous regions,Threatened,,18g (0.5oz),Chordata
,,,,,,Smooth,,Animalia,,Lepisosteidae,Gar,Carnivore,,,,0.6m - 3m (2ft - 9.8ft),,Actinopterygii,,,"Grey, Blue, Black, Brown, Yellow",,10 - 20 years,"Large Fish, Alligators, Humans",,Gar,Lepisosteiformes,,Lepisosteidae,Lakes and slow-moving rivers,Least Concern,,,Chordata
,,Geochelone,,,,Scales,,Animalia,,Geochelone Nigra,Galapagos Tortoise,Herbivore,0.5km/h (0.3mph),,24,,,Reptilia,Solitary,,"Brown, Grey",,100-150 years,"Human, Hawk, Wild dogs",,,Testudines,,Testudinidae,Volcanic lowlands and shrub land,Endangered,,200-300kg (441-661lbs),Chordata
,,Spheniscus,,,,Feathers,,Animalia,,Spheniscus Mendiculus,Galapagos Penguin,Carnivore,,,2,,,Aves,Colony,,"Black, White, Grey",,15 - 20 years,"Leopard Seal, Killer Whale, Sharks",,,Sphenisciformes,,Spheniscidae,Rocky Ocean Islands,Endangered,,2kg - 4kg (4.4lbs - 8.8lbs),Chordata
,,Arctocephalus,,,,Fur,,Animalia,,Arctocephalinae,Fur Seal,Carnivore,44km/h (27mph),,1,1.5m - 2m (59in - 79in),,Mammalia,Herd,,"Brown, Black, Grey",,12 - 18 years,"Leopard Seal, Sharks, Killer Whale",,,Carnivora,,Otariidae,Cold waters and rocky land,Threatened,,105kg - 300kg (230lbs - 661lbs),Chordata
,,,,,,Permeable scales,,Animalia,,Rana Temporaria,Frog,Omnivore,17km/h (10mph),,"2,000",0.1cm - 30cm (0.39in - 12in),,Amphibia,Solitary,,Multi-coloured,,1 - 8 years,"Fox, Birds, Snakes",,,Anura,,Neobatrachian,Rainforest and swampland,Threatened,,"2g - 3,000g (0.07oz - 128oz)",Chordata
,,Chlamydosaurus,,,,Scales,,Animalia,,Chlamydosaurus Kingii,Frilled Lizard,Omnivore,48km/h (30mph),,,60cm - 100cm (24in - 40in),,Reptilia,Solitary,,"Black, Brown, Tan, Yellow",,10 - 20 years,"Snakes, Owls, Dingos",,,Squamata,,Agamidae,Tropical forests and woodland,Least Concern,,0.5kg - 1kg (1.1lbs - 2.2lbs),Chordata
,,Fregata,,,,Feathers,,Animalia,,Fregata,Frigatebird,Carnivore,15km/h (9mph),,,,,Aves,Colony,,"Black, White, Brown, Red",,15 - 25 years,"Humans, Rats, Cats",,,Pelecaniformes,,Fregatidae,Tropical coasts and islands,Least Concern,,0.9kg - 1.9kg (1.9lbs - 4.2lbs),Chordata
,,Vulpini,,,,Fur,,Animalia,,Vulpes vulpes,Fox,Carnivore,48km/h (29mph),,5,40cm - 83cm (16in - 33in),,Mammalia,Solitary,,"Brown, Black, Tan, Red",,3 - 11 years,"Human, Bears, Eagles",,,Carnivora,,Canidae,Woodland areas and urban parks,Threatened,,5kg - 11kg (11lbs - 24lbs),Chordata
1,Mammal,Cryptoprocta,Habitat loss,"Lemurs, Frogs, Lizards",Madagascar,Fur,3 months,Animalia,4 months,Cryptoprocta ferox,Fossa,Carnivore,56kph (35mph),"Less than 2,500",2,61cm - 80cm (24in - 32in)),,Mammalia,Nocturnal,4 years,"Red, Brown, Black",Cub,15 - 20 years,"Human, Crocodile",Most closely related to the Mongoose!,Fossa,Carnivora,Solitary,Eupleridae,Dense tropical forest,Endangered,Webbed toes and retractable claws,7kg - 12kg (15lbs - 28.5lbs),Chordata
,,Pteromyini,,,,Fur,,Animalia,,Pteromyini,Flying Squirrel,Omnivore,24km/h (15mph),,4,,,Mammalia,Solitary,,"Black, Brown, Grey, White, Tan",,5 - 8 years,"Cats. Coyote, Raccoon ",,,Rodentia,,Sciuridae,Forest and woodland,Least Concern,,56g - 175g (2oz - 6oz),Chordata
,,,,,,Hair,,Animalia,,Diptera,Fly,Omnivore,,,50,,,Insecta,,,"Black, Brown, Blue",,,"Frogs, Fish, Lizards",,Fly,Diptera,,,Close to organic waste,Least Concern,,,Arthropoda
,,Paralichthys,,,,Scales,,Animalia,,Paralichthys,Flounder,Carnivore,,,,12.5cm - 64cm (5in - 25in),,Actinopterygii,,,"Brown, Black, Yellow, White, Tan",,3 - 10 years,"Large Fish, Sharks, Eels",,Flounder,Pleuronectiformes,,Paralichthyidae,Tropical coastal waters,Least Concern,,,Chordata
,,Phoenicopterus,,,,Feathers,,Animalia,,Phoenicopterus,Flamingo,Omnivore,50km/h (31mph),,,,,Aves,Flock,,"Pink, Orange, Blue, White",,15 - 30 years,"Human, Eagles, Wild dogs",,,Phoenicopteriformes,,Phoenicopteridae,Large lakes and plant less lagoons,Least Concern,,2kg - 4kg (4.4lbs - 8.8lbs),Chordata
2,Mammal,Prionailurus,Habitat loss,"Fish, Shellfish, Snakes",south-east Asia,Fur,63 days,Animalia,4 - 6 months,Prionailurus viverrinus,Fishing Cat,Carnivore,55kph (34mph),"Less than 10,000",2,57cm - 85cm (22.4in - 33.4in),,Mammalia,Nocturnal,9 - 10 months,"Olive-Grey, Black",Kitten,10 - 12 years,Human,Scoops fish out of the water using its paw!,Fishing Cat,Carnivora,Solitary,Felidae,Variety of wetland habitats,Endangered,"Long, stocky body and slightly webbed paws",5.5kg - 8kg (12lbs - 17.6lbs),Chordata
,,Bombina,,,,Permeable,,Animalia,,Bombina,Fire-Bellied Toad,Carnivore,8km/h (5mph),,,4cm - 7cm (1.5in - 3in),,Amphibia,Solitary,,"Black, Green, Grey, Brown, Yellow, Orange, Red",,10 - 15 years,"Foxes, Snakes, Birds",,,Anura,,Bombinatoridae,"Forests, jungle and marshes",Least Concern,,20g - 80g (0.7oz - 2.8oz),Chordata
,,Balaenoptera,,,,Smooth,,Animalia,,Balaenoptera Physalus,Fin Whale,Carnivore,40km/h (25mph),,1,6.5m - 24m (21ft - 79ft),,Mammalia,Herd,,"Grey, Black, White, Blue",,50 - 60 years,"Human, Large Sharks",,,Cetacea,,Balaenopteridae,Deep offshore waters,Endangered,,"1,800kg - 70,000kg (4,000lbs - 150,000lbs)",Chordata
,,Mustela,,,,Fur,,Animalia,,Mustela Putorius Furo,Ferret,Carnivore,25km/h (15mph),,4,40cm - 50cm (18in - 21in),,Mammalia,Solitary,,"Brown, Black, Tan, Grey",,7 - 10 years,"Owls, Foxes, Badgers",,,Carnivora,,Mustelidae,Forest and grasslands,Threatened,,0.7kg - 2kg (1.5lbs - 4lbs),Chordata
1,Mammal,Vulpes,Habitat loss and hunting,"Berries, Fruit, Rodents, Reptiles",North Africa,Fur,52 days,Animalia,5 weeks,Vulpes zerda,Fennec Fox,Omnivore,40kph (25mph),Unknown,3,24cm -41cm (9in - 16in),,Mammalia,Nocturnal,9 months,"Sandy, white, cream",Kit,10 - 14 years,"Eagle Owl, Hyena, Jackal",Can get all their water from their food!,Fennec Fox,Carnivora,Sociable,Canidae,Sandy and semi-arid desert,Least Concern,"Large, over-sized ears",1kg - 1.5kg (2.2lbs - 3.3lbs),Chordata
,,Falco,,,,Feathers,,Animalia,,Falconiforme,Falcon,Carnivore,322km/h (200mph),,,,,Aves,Solitary,,"Black, Grey, Brown, White, Yellow",,12 - 18 years,"Human, Eagles, Owls, Wolves",,,Falconiformes ,,Falconidae,High areas like mountains and cliffs,Threatened,,0.7kg - 1.2kg (1.5lbs - 2.6lbs),Chordata
,,Dromaius,,,,Feathers,,Animalia,,Dromaius Novaehollandiae,Emu,Omnivore,40km/h (25mph),,,,,Aves,Flock,,"Black, Grey, Brown",,12 - 20 years,"Human, Wild dogs, Birds of prey",,,Casuariiformes,,Casuariidae,Open grasslands with bushes close to water,Least Concern,,18kg - 60kg (40lbs - 132lbs),Chordata
,,Saguinus,,,,Fur,,Animalia,,Saguinus Imperator,Emperor Tamarin,Omnivore,40km/h (24mph),,2,18cm - 30cm (7in - 12in),,Mammalia,Troop,,"Black, Grey, White, Brown",,8 - 15 years,"Hawks, Snakes, Wild Cats",,,Primates,,Callitrichidae,Lowland tropical forest,Least Concern,,220g - 900g (7.7oz - 32oz),Chordata
1,Bird,Aptenodytes,Global warming,"Fish, Krill, Squid",Antarctica,Feathers,,Animalia,,Aptenodytes forsteri,Emperor Penguin,Carnivore,24kph (15mph),"200,000 breeding pairs",,,,Aves,Diurnal,3 - 8 years,"Black, White, Yellow, Orange",Chick,15 - 50 years,"Southern Giant Petrol, Leopard Seal, Killer Whale",The world\'s largest species of penguin!,Emperor Penguin,Sphenisciformes,Colony,Spheniscidae,Compact sea-ice and ocean,Least Concern,Bright yellow feathers on neck and ears,22kg - 45kg (49lbs - 99lbs),Chordata
,,Elephantulus,,,,Fur,,Animalia,,Elephantulus,Elephant Shrew,Omnivore,13km/h (8mph),,2,10cm - 30cm (4in - 12in),,Mammalia,Solitary,,"Black, Brown, Grey, White, Tan",,2 - 5 years,"Snakes, Lizards, Birds of Prey ",,,Macroscelidea,,Macroscelididae,"Forest, woodland and grassland",Least Concern,,50g - 500g (2oz - 18oz),Chordata
,,Mirounga,,,,Fur,,Animalia,,Mirounga,Elephant Seal,Carnivore,19km/h (12mph),,1,3m - 5m (10ft - 16ft),,Mammalia,Herd,,"Brown, Black, Tan, Grey",,18 - 22 years,"Human, Sharks, Killer Whales",,,Carnivora,,Phocidae,Warm coastal waters close to land,Least Concern,,"900kg - 3,000kg (2,000lbs - 6,000lbs)",Chordata
,,,,,,Leather,,Animalia,,Loxodonta Africana,Elephant,Herbivore,40km/h (25mph),,1,,,Mammalia,Herd,,Grey,,55 - 70 years,"Human, Hyena, Wildcats",,,Proboscidea,,Elephantidae,Rainforest and flood plains,Threatened,,"3,000kg - 5,400kg (6,500lbs - 12,000lbs)",Chordata
,,Electrophorus,,,,Scales,,Animalia,,Electrophorus Electricus,Electric Eel,Carnivore,8 km/h (5mph),,,2.5m (8.22ft),,Actinopterygii,Solitary,,"Black, White, Purple, Blue",,15 - 22 years,Human,,,Gymnotiformes,,Gymnotidae,River in the Amazon,Least Concern,,20kg (44lbs),Chordata
1,Amphibian,Pelophylax,Habitat loss,"Insects, Moths, Spiders",Across central Europe,Permeable,,Animalia,,Pelophylax kl. esculentus,Edible Frog,,8kph (5mph),Sustainable,,5cm - 11cm (1.9in - 4.7in),"Common Water Frog, Green Frog",Amphibia,Diurnal,2 years,"Brown, Green, Black, Tan",Tadpole,5 - 15 years,"Foxes, Cats, Birds",Known to guard the muddy banks!,Edible Frog,Anura,Solitary,Ranidae,Woodland swamps and ponds,Least Concern,,5g - 12g (0.17oz - 0.4oz),Chordata
,,Tachyglossus,,,,Spiky,,Animalia,,Tachyglossus Aculeatus,Echidna,Carnivore,30km/h (18mph),,1,35cm - 52cm (14in - 20in),,Mammalia,Solitary,,"Brown, Black, White",,15 - 40 years,"Human, Eagle, Dingos",,,Monotremata,,Tachyglossidae,Cool and dry forests,Least Concern,,4kg - 7kg (9lbs - 15lbs),Chordata
,,Gorilla,,,,Hair,,Animalia,,Gorilla Berengei,Eastern Gorilla,Omnivore,40km/h (25mph),,1,,,Mammalia,Social,,"Black, Brown, Grey",,35 - 50 years,"Human, Leopard",,,Primates,,Hominidae,Tropical forest and jungles in mountainous regions,Critically Endangered,,204kg - 227kg (450lbs - 500lbs),Chordata
,,Gorilla,,,,Hair,,Animalia,,Gorilla Berengei Graueri,Eastern Lowland Gorilla,Omnivore,40km/h (25mph),,1,,,Mammalia,Social,,"Black, Brown, Grey",,35 - 50 years,"Human, Leopard",,,Primates,,Hominidae,Tropical forest and jungles in mountainous regions,Endangered,,204kg - 227kg (450lbs - 500lbs),Chordata
,,,,,,Shell,,Animalia,,Dermaptera,Earwig ,Omnivore,,,50,1cm - 3cm (0.4in - 1.2in),,Insecta,,,"Black. Brown, Yellow, Tan",,,"Toads, Birds, Beetles",,Earwig,Dermaptera,,,Grass and woodlands,Least Concern,,2g - 5g (0.07oz - 0.1oz),Arthropoda
,,,,,,Feathers,,Animalia,,Hieraatus Spilogaster,Eagle,Omnivore,160km/h (100mph),,,,,Aves,Solitary,,"Black, Grey, Brown, White, Yellow",,15 - 30 years,"Human, Hawk, Raccoon",,,Falconiformes ,,Accipitridae,"Open waters like rivers, lakes and coastal regions",Threatened,,0.5kg - 7kg (1.1lbs - 15.4lbs),Chordata
2,Reptile,Osteolaemus,Habitat loss and hunting,"Fish, Crustaceans, Frogs",West Africa,Scales,,Animalia,,Osteolaemus tetraspis,Dwarf Crocodile,Carnivore,17kph (11mph),"25,000 - 100,000",,1.7m - 1.9m (5.5ft - 6.25ft),"African Dwarf Crocodile, Black Crocodile, Bony Crocodile, Broad-Snouted Crocodile, Rough-Backed Crocodile",Sauropsida,Nocturnal,4 - 5 years,"Black, Grey, Yellow",Hatchling,40 - 75 years,"Crocodiles, Large Birds and Mammals",Digs burrows in river banks to rest!,Dwarf Crocodile,Crocodilia,Solitary,Crocodylidae,Rainforest rivers and swamps,Vulnerable,Short and broad snout,18kg - 32kg (40lbs - 70lbs),Chordata
3,Mammal,Lagenorhynchus,Hunting and commercial fishing,"Anchovies, Sardines, Squid",Across the southern hemisphere,Smooth,11 months,Animalia,18 months,Lagenorhynchus obscurus,Dusky Dolphin,Carnivore,37kph (23mph),Not Known,1,1.6m  - 2.1m (5ft - 7ft),,Mammalia,Diurnal/Nocturnal,4 - 5 years,"Grey, Blue, Black, White",Calf,18 - 25 years,"Killer Whales, Sharks, Humans","Communicates using whistles, squeaks and clicks!",Dusky Dolphin,Cetacea,Pod,Delphinidae,Cooler waters near continental shelves,Data Deficient,"Rounded black beak and tall, curved dorsal fin",80kg - 120kg (176lbs - 264lbs),Chordata
,,Dugong,,,,Leather,,Animalia,,Dugong Dugon,Dugong,Herbivore,22km/h (13mph),,1,2.7m - 3m (8.9ft - 9.8ft),,Mammalia,Solitary,,"Brown, Grey",,50 - 70 years,"Human, Sharks, Crocodile",,,Sirenia,,Dugongidae,Warmer tropical waters and sea grass forests,Threatened,,150kg - 400kg (330lbs - 880lbs),Chordata
,,Duck,,,,Feathers,,Animalia,,Anas Platyrhynchos,Duck,Omnivore,55km/h (88mph),,,30cm - 50cm (12in - 20in),,Aves,Pack,,"Green, Black, Grey, Brown, White, Yellow",,4 - 8 years,,,,Anseriformes,,Anatidae,"Rivers, lakes and woodland wetlands",Least Concern,,0.7kg - 1.4kg (1.5lbs - 3lbs),Chordata
,,,,,,Hair,,Animalia,,Anisoptera,Dragonfly,Carnivore,,,60,,,Insecta,,,"Yellow, Black, Orange, Red, White. Brown, Blue",,,"Birds, Fish, Lizards",,Dragonfly,Odonata,,Anisoptera,Wetlands and close to water,Threatened,,,Arthropoda
,,,,,,Fur,,Animalia,,Gliridae,Dormouse,Omnivore,12.8km/h (8mph),,4,6cm - 19cm (2.4in - 7.5in),,Mammalia,Solitary,,"Grey, Black, White, Brown, Tan, Gold",,2 - 5 years,"Owls, Snakes, Weasels",,,Rodentia,,Gliridae,Dense woodlands and shrub land,Least Concern,,15g - 200kg (0.5oz - 7.1oz),Chordata
,,Equus,,,,Fur,,Animalia,,Equus Asinus,Donkey,Herbivore,24km/h (15mph),,1,,,Mammalia,Herd,,"Grey, Brown, Black",,15 - 30 years,"Fox, Wolf, Lion",,,Perissodactyla,,Equidae,Arid forests and deserts,Threatened,,200kg - 258kg (441lbs - 570lbs),Chordata
,,,,,,Smooth,,Animalia,,Delphinus Delphis,Dolphin,Carnivore,40km/h (25mph),,1,2m - 4m (6.5ft - 13ft),,Mammalia,Pod,,"Black, White, Grey",,20 - 45 years,"Human, Sharks, Killer Whale",,,Cetacean,,Delphinidae,"Temperate coastal waters, harbours and bays",Threatened,,100kg - 300kg (220lbs - 660lbs),Chordata
,,Raphus,,,,Feathers,,Animalia,,Raphus Cucullatus,Dodo,Omnivore,,,1,,,Aves,Flock,,"Grey, Black, White, Brown",,10 - 30 years,"Humans, Cats, Dogs",,,Columbiformes,,Columbidae,Tropical forest,Extinct,,20kg (44lbs),Chordata
,,Canis,,,,Fur,,Animalia,,Canis Lupus Dingo,Dingo,Carnivore,48km/h (30mph),,6,100cm - 125cm (39in - 49in),,Mammalia,Pack,,"Tan, Black, Brown, Grey, Red, Yellow",,7 - 15 years,"Human, Large reptiles",,,Carnivora,,Canidae,"Desert, wet and dry forests",Threatened,,13kg - 20kg (28lbs - 44lbs) ,Chordata
3,Fish,Symphysodon,Water pollution,"Insects, Worms, Small fish","Brazil, Columbia and Peru",Scales,,Animalia,,Symphysodon,Discus,Omnivore,,Unknown,,20cm - 25cm (8in - 10in),,Actinopterygii,Diurnal,1 - 3 years,"Blue, Red, Green, Yellow, Orange, Black, Brown",Fry,8 - 15 years,"Fish, Turtles, Birds",One of the only schooling Cichlids!,Discus,Perciformes,School,Cichlidae,"Deep, slow-moving waters",Threatened,,,Chordata
,,Cuon,,,,Fur,,Animalia,,Cuon Alpinus,Dhole,Carnivore,72.4km/h (45mph),,8,75cm - 110cm (29in - 43in),,Mammalia,Pack,,"Grey, Black, White, Brown, Tan, Gold, Red",,10 - 13 years,"Tigers, Leopards, Humans",,,Carnivora,,Canidae,Dry forest and thick jungle,Endangered,,12kg - 20kg (26lbs - 44lbs),Chordata
,,Gopherus,,,,Scales,,Animalia,,Gopherus Agassizii,Desert Tortoise,Herbivore,0.5km/h (0.3mph),,,25cm - 36cm (10in - 14in),,Reptilia,Solitary,,"Black, Brown, Tan, Yellow",,25 - 60 years,"Coyote, Birds, Gila Monster",,,Testudines,,Testudinidae,Sandy desert plains and rocky hills,Threatened,,4kg - 7kg (8lbs - 15lbs),Chordata
,,,,,,Fur,,Animalia,,Odocoileus virginiana,Deer,Herbivore,70km/h (43mph),,1,,,Mammalia,Herd,,"Brown, Tan, White, Orange",,10 - 20 years,"Wolf, Bear, Cougar",,,Artiodactyla,,Cervidae,Dense forest and planted areas,Threatened,,10kg - 450kg (22lbs - 990lbs),Chordata
,,Rhinoderma,,,,Permeable,,Animalia,,Rhinoderma Darwinii,Darwin's Frog,Carnivore,8km/h (5mph),,,2.5cm - 3.5cm (0.9in - 1.4in),,Amphibia,Solitary,,"Black, Green, Grey, Brown, Tan",,10 - 15 years,"Rodents, Snakes, Birds",,,Anura,,Rhinodermatidae,Beech-tree forests and in fields,Vulnerable,,2g - 5g (0.07oz - 0.17oz),Chordata
,,,,,,Smooth,,Animalia,,Sepiida,Cuttlefish,Carnivore,,,200,15cm - 50cm (5.9in - 20in),,Cephalopoda,,,"Green, Red, Blue, Yellow, Orange, Brown, Pink, White",,,"Fish, Sharks, Cuttlefish",,Cuttlefish,Decapodiformes,,Sepiida,Coastal and deeper waters,Threatened,,3kg - 10.5kg (6.6lbs - 23lbs),Mollusca
